[08-May-2020 08:27:02 UTC] auditor:scan=fingerprint {"blog_id":1,"kind":"active-plugin","name":"Visual Composer Background Sliders","slug":"sb-background-slider-vc-addon/sb-background-slider-vc-addon.php","ver":"1.6","sig":"v1:c0c02fa80ad516812945b0bb8d6ed8a7cbe5951c512e2d5430434fb6499015d6"}
[08-May-2020 08:27:02 UTC] auditor:scan=fingerprint {"blog_id":1,"kind":"active-plugin","name":"Superfly Menu","slug":"superfly-menu/main.php","ver":"5.0.7","sig":"v1:bff3c27d15a1d575221e857ac36fe6a4754f7ac847ed4e572d675806a34b9834"}
[08-May-2020 08:27:03 UTC] auditor:scan=fingerprint {"blog_id":1,"kind":"active-plugin","name":"Theme Editor","slug":"theme-editor/theme_editor.php","ver":"2.3","sig":"v1:f14be548549e62ed8eec4395afe9ccea4aecf6edf7a0eba42b253f41c495849a"}
[08-May-2020 08:27:03 UTC] auditor:scan=fingerprint {"blog_id":1,"kind":"active-plugin","name":"Yoast SEO","slug":"wordpress-seo/wp-seo.php","ver":"14.0.4","sig":"v1:9b49a94a4f89bc5ad6ec0c0e50174b2316132cf574df63921724f8e0695d186f"}
[08-May-2020 08:27:03 UTC] auditor:scan=fingerprint {"blog_id":1,"kind":"active-plugin","name":"WP ACF-VC Bridge","slug":"wp-acf-vc-bridge/wp-acf-vc-bridge.php","ver":"1.5.19","sig":"v1:71c632414bf46d40bec1d52ab90b24f1c48a2820b06a292a2773a81619e0ee64"}
[08-May-2020 08:27:03 UTC] auditor:scan=fingerprint {"blog_id":1,"kind":"installed-plugin","name":"Akismet Anti-Spam","slug":"akismet/akismet.php","ver":"4.1.5","sig":"v1:3f2f60f54aa28ea16b3ab56b6b172cddd5bb941e44d0f2eaa3600a6a9a94f1bf"}
[08-May-2020 08:27:03 UTC] auditor:scan=fingerprint {"blog_id":1,"kind":"installed-plugin","name":"Atomic Blocks - Gutenberg Blocks Collection","slug":"atomic-blocks/atomicblocks.php","ver":"2.8.1","sig":"v1:c2476be620b19a75c3d41da1d61d59568463ebce95cf25412738551039d989ed"}
[08-May-2020 08:27:03 UTC] auditor:scan=fingerprint {"blog_id":1,"kind":"installed-plugin","name":"MapifyLite","slug":"mapifylite-master/mapify_lite.php","ver":"2.0.4","sig":"v1:aa6f5f28eaa0946a1e27a2dd0f85c9dc078624cf8b436ff894174963fed8b22d"}
[08-May-2020 08:27:04 UTC] auditor:scan=fingerprint {"blog_id":1,"kind":"installed-plugin","name":"Smart Slider 3 Pro","slug":"nextend-smart-slider3-pro/nextend-smart-slider3-pro.php","ver":"3.4.1","sig":"v1:bd526851cbfb930490f44e6d89321b2029520954958b9b367e228085b24d89af"}
[08-May-2020 08:45:09 UTC] auditor:scan=fingerprint {"blog_id":1,"kind":"wp-core","name":"wp-includes","slug":"wp-includes","ver":"5.4.1","sig":"v1:0c120654ab47967f8740004fc4fad85f3f059afb1db8b741fd8e12fc899e2cd1"}
[08-May-2020 08:45:10 UTC] auditor:scan=fingerprint {"blog_id":1,"kind":"wp-core","name":"wp-admin","slug":"wp-admin","ver":"5.4.1","sig":"v1:ae10a150c52b79741104db5b1c6c6d957c340bf81e3d9a20f33ccd467e6c118d"}
[08-May-2020 10:02:45 UTC] auditor:scan=fingerprint {"blog_id":1,"kind":"wp-core","name":"wp-includes","slug":"wp-includes","ver":"5.4.1","sig":"v1:0c120654ab47967f8740004fc4fad85f3f059afb1db8b741fd8e12fc899e2cd1"}
[08-May-2020 10:02:45 UTC] auditor:scan=fingerprint {"blog_id":1,"kind":"wp-core","name":"wp-admin","slug":"wp-admin","ver":"5.4.1","sig":"v1:ae10a150c52b79741104db5b1c6c6d957c340bf81e3d9a20f33ccd467e6c118d"}
[08-May-2020 10:05:44 UTC] auditor:event=wp_login {"user_id":2,"blog_id":1,"event":"wp_login","current_user_id":0,"remote_addr":"127.0.0.1"}
